id,title,main_story,main_plus_extras,completionist,developers,publishers,platforms,genres
19,.hack//G.U. Vol. 1: Rebirth,20.5,25.5,39,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing"
20,.hack//G.U. Vol. 2: Reminisce,22.5,35.5,50,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing"
21,.hack//G.U. Vol. 3: Redemption,23.5,32.5,48,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing"
50336,.hack//G.U. Vol. 4: Reconnection,2,2.5,5,CyberConnect2,BANDAI NAMCO Entertainment,"PC, PlayStation 4",Role-Playing
22,.hack//Infection,18,20.5,28.5,"CyberConnect2 Co., Ltd.",Bandai S.A.,PlayStation 2,"Action, role-playing"
24,.hack//Mutation,16.5,21.5,32,CyberConnect2,Bandai Games,PlayStation 2,"Action, role-playing"
25,.hack//Outbreak,19.5,20,22,CyberConnect2,Bandai,PlayStation 2,Action RPG
26,.hack//Quarantine,17.5,20.5,24.5,CyberConnect2,Bandai,PlayStation 2,Action RPG
27,007 Legends,6.5,7.5,9,Eurocom,Activision,"PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter"
21789,1 Moment of Time: Silentville,3,3,4.5,2 Monkeys,Jetdogs Studios,PC,"Adventure, Hidden Object"
17213,10 Second Ninja,1,2,4,GameDesignDan,Mastertronic,PC,Action
38775,10 Second Ninja X,2,7.5,21,Four Circle Interactive,Curve Digital,"PC, PlayStation 4, PlayStation Vita, Xbox One","Action, Platform"
16627,100% Orange Juice,7,25,70.5,Orange_Juice,Fruitbat Factory,PC,Board Game
37,1000 Amps,4,4,5,Brandon Brizzi,Brandon Brizzi,PC,"Adventure, Platform, Puzzle"
19077,1001 Spikes,7,11.5,15.5,8bits Fanatics,Nicalis,"PC, PlayStation 4, PlayStation Vita, Xbox One",Platform
40,102 Dalmatians: Puppies to the Rescue,6.5,7.5,8.5,"Crystal Dynamics, Toys for Bob",Eidos Interactive,"Dreamcast, Game Boy Color, PC, PlayStation","Action, Platformer"
41,1080 Snowboarding,3,7,11.5,Nintendo EAD,Nintendo,"Nintendo 64, Wii, Wii U",Racing
42,1080° Avalanche,4.5,8.5,18.5,NST,Nintendo,Nintendo GameCube,"Arcade, Sports"
34,10-Yard Fight,0.35,0.683333333,1.5,Irem,Irem,NES,Sports
25033,12 is Better Than 6,4.5,5.5,7,Ink Stains Games,Pinkapp Games,PC,"Top-Down, Shooter"
26959,12 Labours of Hercules II: The Cretan Bull,5.5,7,8.5,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
29286,12 Labours of Hercules III: Girl Power,5.5,6.5,9,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
34053,12 Labours of Hercules IV: Mother Nature,7,7,8.5,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
43884,12 Labours of Hercules VI: Race for Olympus,9,10,10,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
60891,12 Labours of Hercules VII: Fleecing the Fleece,9,9,9,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
46,15 Days,6.5,7,8,House of Tales Entertainment,"Lace Mamba Global, dtp entertainment",PC,"Adventure, Role-Playing"
16342,1954: Alcatraz,5.5,6,7.5,"Daedalic Entertainment, Irresponsible Games",Daedalic Entertainment,PC,"Point-and-Click, Adventure"
36527,1979 Revolution: Black Friday,2,3,4.5,"iNK Stories, N-Fusion Interactive",iNK Stories,"Android, iOS, Nintendo Switch, PC, PlayStation 4",Adventure
37158,1993 Space Machine,3,5,20,Modesty,Modesty,PC,"Scrolling, Shooter"
30161,1bitheart,5.5,5.5,9,Miwashiba,Miwashiba,PC,Adventure
21846,1HEART,3.5,4,4.5,Chicken in The Corn,Chicken in The Corn,PC,"Point-and-Click, Puzzle"
31314,200% Mixed Juice!,5,6,6.5,Orange_Juice,Fruitbat Factory,PC,"Turn-Based, Role-Playing"
43772,2064: Read Only Memories,9,10.5,17.5,MidBoss,MidBoss,"PC, Nintendo Switch, PlayStation 4, PlayStation Vita",Adventure
62,25 To Life,4,4,11,"Avalanche Software, Ritual Entertainment",Eidos Interactive,"PC, PlayStation 2, Xbox",Third-person shooter
37409,30 Impossible Levels,2,5,20,Abstract Tree Studio,Abstract Tree Studio,PC,Action
37538,35MM,4,5,8.5,Носков Сергей,Носков Сергей,PC,Adventure
49062,36 Fragments of Midnight,0.65,0.833333333,1.5,Petite Games,Petite Games,"Nintendo Switch, PlayStation 4, PlayStation Vita","Action, Adventure"
67,3D Classics: Excitebike,1.5,5.5,5.5,Nintendo,Nintendo,Nintendo 3DS,Racing
14805,3D Classics: Kid Icarus,4,5,5,Nintendo,Nintendo,Nintendo 3DS,"Action, Platform"
69,3D Dot Game Heroes,15.5,22,27.5,Silicon Studio,Atlus,PlayStation 3,"Action, Adventure"
29845,3D Gunstar Heroes,2,2,14,Sega,Sega,Nintendo 3DS,"Action, Adventure"
77,4 Elements,8.5,9,10,Playrix Entertainment,Playrix Entertainment,"Nintendo DS, PC","Adventure, Puzzle"
26300,404Sight,0.816666667,0.983333333,1,Retro Yeti Games,Retro Yeti Games,PC,Action
19743,4PM,0.45,0.483333333,0.616666667,Bojan Brbora,4PM GAME,PC,"First-Person, Adventure"
85,50 Cent: Blood on the Sand,5.5,7,8.5,Swordfish Studios,THQ,"PlayStation 2, PlayStation 3, Xbox 360","Third-Person, Shooter"
26810,60 Seconds!,2,4.5,11,Robot Gentleman Studios,Robot Gentleman Studios,PC,"Simulation, Survival"
1,688(I) Hunter/Killer,9.5,24,50.5,Sonalysts,Electronic Arts,PC,Simulation
60259,7 Billion Humans,7,13.5,22,Tomorrow Corporation,Tomorrow Corporation,PC,Puzzle
13500,7 Days to Die,34.5,86,191,The Fun Pimps,The Fun Pimps,"PC, PlayStation 4, Xbox One","First-Person, Action, Adventure"
95,7 Wonders II,5.5,5.5,6.5,MumboJumbo,MumboJumbo,PC,Puzzle
96,7 Wonders of the Ancient World,3,5,6,Hot Lava Games,MumboJumbo,"PC, PSP",Puzzle
97,7 Wonders: Ancient Alien Makeover,5.5,9,12,MumboJumbo,MumboJumbo,PC,Puzzle
98,7 Wonders: Treasures of Seven,7,7.5,9,MumboJumbo,MumboJumbo,PC,Puzzle
52264,7'scarlet,4.5,20,20.5,"Toybox, Otomate","Idea Factory, Aksys Games",PlayStation Vita,Visual Novel
101,7th Dragon,35,50,81,"Sega AM1, imageepoch",Sega,Nintendo DS,Role-Playing
102,7th Dragon 2020,22.5,33.5,37,"Sega AM1, imageepoch",Sega,PSP,Role-Playing
37503,7th Dragon III Code: VFD,32.5,37,49.5,imageepoch,Sega,Nintendo 3DS,Role-Playing
21838,80 Days,3,7,20.5,Inkle,Inkle,"Mobile, PC","Adventure, Visual Novel"
44832,8-Bit Bayonetta,0.25,0.466666667,0.7,"PlatinumGames, Bitbaboon",Sega,PC,Action
18674,8BitBoy,4.5,8,14.5,AwesomeBlade,AwesomeBlade,PC,Platform
30832,9 Clues 2: The Ward,3,3,5,Tap It Games,Artifex Mundi,PC,Hidden Object
41512,911 Operator,8.5,11.5,14.5,Jutsu Games,PlayWay,PC,"Simulation, Strategy"
36650,A Blind Legend,2,3,5.5,Dowino,Plug In Digital,PC,"Action, Adventure"
119,A Boy and His Blob,9.5,10,18,WayForward Technologies,Majesco Games,"PC, PlayStation 4, PlayStation Vita, Wii","Platform, Puzzle"
121,A Bug's Life,5.5,11.5,12.5,Traveller's Tales,Disney Interactive,"Nintendo 64, PC, PlayStation, PlayStation 2",Platform
53264,A Case of Distrust,2.5,3.5,3.5,The Wandering Ben,Serenity Forge,"Nintendo Switch, PC",Adventure
65202,A Dance of Fire and Ice,3,6.5,8.5,7th Beat Games,"7th Beat Games, indienova",PC,Music/Rhythm
127,A Game of Dwarves,35,35.5,68.5,Zeal Game Studio,Paradox Interactive,PC,"City-Building, Strategy"
23076,A Golden Wake,5,6.5,8,Grundislav Games,Wadjet Eye Games,PC,"Point-and-Click, Adventure"
24976,A Good Snowman is Hard to Build,1.5,3,4.5,"Alan Hazelden, Benjamin Davis",Draknek,"Mobile, PC",Puzzle
130,A Hat in Time,8.5,12.5,15,Gears for Breakfast,Gears for Breakfast,"PC, PlayStation 4, Xbox One","Adventure, Platform"
60436,A Hat in Time - Seal the Deal,2,3.5,9,Gears for Breakfast,Gears for Breakfast,PC,"Third-Person, Platform"
47548,A Hole New World,2.5,6,35,MadGearGames,MadGearGames,PC,Action
43730,A House of Many Doors,20,38.5,80,Pixel Trickery,Pixel Trickery,PC,Role-Playing
131,A Kingdom for Keflings,6,17,33.5,NinjaBee,Microsoft Game Studios,"PC, Xbox 360, Xbox One",Simulation
41599,A King's Tale: Final Fantasy XV,1.5,2.5,4.5,Square Enix,Square Enix,"PlayStation 4, Xbox One","Side, Scrolling, Action"
36287,A Lenda do Heroi,11.5,20,27.5,"Dumativa Creative Studio, Castro Brothers","Dumativa Creative Studio, Castro Brothers",PC,Platform
50016,A Mortician's Tale,0.966666667,1,1,Laundry Bear Games,Laundry Bear Games,PC,Simulation
54034,a Museum of Dubious Splendors,0.25,0.383333333,0.533333333,Studio Oleomingus,The Irregular Corporation,PC,Adventure
134,A New Beginning,9,10,10,Daedalic Entertainment,"Daedalic, Lace Mamba",PC,"Point-and-Click, Adventure"
39326,A Normal Lost Phone,1.5,1.5,2,Plug In Digital,"Playdius, Plug In Digital","Android, iOS, Linux, Mac, Mobile, Nintendo Switch, PC",Adventure
45298,A Rose in the Twilight,6,9,13,Nippon Ichi Software,NIS America,"PC, PlayStation Vita",Adventure
66152,A Short Hike,1.5,1.5,2.5,adamgryu,adamgryu,PC,Adventure
18936,A Story About My Uncle,3,4.5,8.5,Gone North Games,Coffee Stain Studios,PC,"First-Person, Adventure, Platform"
143,A Virus Named Tom,4,11,27,Misfits Attic,Misfits Attic,"PC, PlayStation Vita","Action, Puzzle"
46386,A Way Out,6,6,7,Hazelight Studios,Electronic Arts,"PC, PlayStation 4, Xbox One","Action, Adventure"
34136,A Wild Catgirl Appears!,1,1,2,NewWestGames,NewWestGames,PC,Visual Novel
145,A Witch's Tale,16,17.5,22.5,Hit Maker,"Nippon Ichi Software, NIS America",Nintendo DS,Role-Playing
146,A World of Keflings,7,10.5,14,NinjaBee,Microsoft Studios,"PC, Xbox 360",Simulation
152,A.R.E.S.: Extinction Agenda,2,3,8,Extend Studio,ORiGO GAMES,PC,"Action, Shooter"
154,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,4,5,10.5,Dejobaan Games,Dejobaan Games,"Mobile, PC","First-Person, Action"
13610,Aabs Animal,0.083333333,0.083333333,0.083333333,Aabs,Aabs,"PlayStation 3, PlayStation Vita",Simulation
45062,Aaero,1.5,6,9,Mad Fellows,Reverb Triple XP,"PC, PlayStation 4, Xbox One",Action
13693,Aarklash: Legacy,14.5,22,33,Cyanide Studio,Cyanide Studio,PC,"Adventure, Strategy"
25094,Aaru's Awakening,3,3,3.5,Lumenox Games,Lumenox Games,"PC, PlayStation 3, PlayStation 4","Action, Platform"
156,Abadox: The Deadly Inner War,0.75,1,1.5,Natsume,"Natsume, Milton Bradley",NES,Shoot 'em up
17566,Abandoned,0.833333333,0.9,0.966666667,Krutovig,Krutovig,PC,"Point-and-Click, Adventure"
27575,Absconding Zatwor,2,2.5,3.5,Zonitron Productions,GrabTheGames,PC,"Action, Puzzle"
28913,Absolute Drift,2.5,3.5,7.5,Funselektor Labs,Funselektor Labs,"PC, PlayStation 4, Xbox One",Racing
19845,Abyss Odyssey,4,7,16.5,ACE Team,ATLUS,"PC, PlayStation 3, PlayStation 4, Xbox 360","Third-Person, Multidirectional, Action, Adventure, Roguelike"
18065,Abyss: The Wraiths of Eden,3,4,6.5,Artifex Mundi,Artifex Mundi,"PC, Xbox One","Point-and-Click, Adventure, Hidden Object, Puzzle"
20076,ABZÛ,2,2.5,4,Giant Squid,505 Games,"Nintendo Switch, PC, PlayStation 4, PlayStation Now, Xbox One",Adventure
48018,Accel World vs. Sword Art Online,24.5,25.5,120,Artdink Corporation,BANDAI NAMCO Entertainment,"PC, PlayStation 4, PlayStation Vita",Role-Playing
42227,Access Denied,1.5,1.5,1.5,Stately Snail,Stately Snail,PC,Puzzle
40858,Accounting (2016),0.483333333,0.55,0.583333333,"Crows Crows Crows, Squanchtendo",Crows Crows Crows,"HTC Vive, Oculus Rift, PC","Virtual Reality, Adventure"
34242,ACE Academy,9,19,27.5,PixelFade Studio,PixelFade Studio,"Mac, PC",Role-Playing
165,Ace Attorney Investigations: Miles Edgeworth,23,24,24,Capcom,Capcom,"Mobile, Nintendo 3DS, Nintendo DS",Adventure
166,Ace Combat 04: Shattered Skies,4,7.5,17.5,Project Aces,Namco,PlayStation 2,"Arcade, Flight Combat, Simulation"
167,Ace Combat 2,3.5,6.5,13,Namco,Namco,PlayStation,"Arcade, Combat Flight Simulator"
168,Ace Combat 3: Electrosphere,4.5,13,33,Namco,"NA/JP: Namco, EU: SCEE",PlayStation,"Arcade, Combat Flight Simulator"
169,Ace Combat 5: The Unsung War,7,14.5,31.5,Project Aces,"JP/NA: Namco, EU: SCEE","PlayStation 2, PlayStation 4","Arcade, Flight Combat"
53763,Ace Combat 7: Skies Unknown,10,13.5,26.5,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,"PC, PlayStation 4, Xbox One","Action, Flight"
171,Ace Combat X: Skies of Deception,4,5.5,13.5,Access Games,"Namco, Sony Computer Entertainment Europe (Europe only)",PSP,"Arcade, Combat Flight Simulator"
172,Ace Combat Zero: The Belkan War,4,8.5,25.5,Project Aces,Namco Bandai,PlayStation 2,Arcade
174,Ace Combat: Assault Horizon - Enhanced Edition,8.5,32.5,77,Namco,Namco Bandai Games,"PC, Xbox 360","Action, Flight, Simulation"
175,Ace Combat: Assault Horizon Legacy,4,8,14,Project Aces,Namco Bandai Games,Nintendo 3DS,Action
26812,Action Henk,5,7,17,RageSquid,RageSquid,"PC, PlayStation 4","Action, Platform, Racing"
191,ActRaiser,5,5,5.5,Quintet,"Enix, Square Enix","Super Nintendo/Famicom, Wii","Action, City-Building, Simulation"
196,Actual Sunlight,1,1,1.5,Will O'Neill,Will O'Neill,"PC, PlayStation Vita",Adventure
42393,Adam Wolfe,5.5,5.5,6,Mad Head Games,Mad Head Games,PC,"Adventure, Hidden Object"
198,Adam's Venture - Episode 1: The Search for the Lost Garden,1.5,2,2,Vertigo Digital Entertainment,Iceberg Interactive,PC,Adventure
199,Adam's Venture - Episode 2: Solomon's Secret,2,2.5,2.5,Vertigo Digital Entertainment,Iceberg Interactive,"PC, PlayStation 3",Adventure
200,Adam's Venture - Episode 3: Revelations,2,2,2.5,Vertigo Games,Iceberg Interactive,"PC, PlayStation 3",Adventure
29195,Adam's Venture Chronicles,4.5,5.5,6.5,Vertigo Games,SOEDESCO Publishing,"PC, PlayStation 3",Adventure
36461,Adam's Venture: Origins,5,5,5,Vertigo Games,SOEDESCO Publishing,"PC, PlayStation 4, Xbox One",Adventure
28566,Adrift,4.5,6,8.5,Three One Zero,505 Games,"PC, PlayStation 4",Adventure
204,Advance Wars,14,20.5,29.5,Intelligent Systems,Nintendo,"Game Boy Advance, Wii U",Turn-based tactics
205,Advance Wars 2: Black Hole Rising,26.5,37,87,Intelligent Systems,Nintendo,"Game Boy Advance, Wii U",Turn-based tactics
206,Advance Wars: Days of Ruin,19.5,36,74.5,Intelligent Systems,Nintendo,"Nintendo 3DS, Nintendo DS","Turn-Based, Tactical"
207,Advance Wars: Dual Strike,24.5,59,197,Intelligent Systems,Nintendo,"Nintendo 3DS, Nintendo DS","Turn-Based, Tactical"
210,Advent Rising,8,8,9,"GlyphX Games, Demiurge Studios",Majesco,"PC, Xbox","Third-person, action-adventure"
213,Adventure Bar Story,58,70,71,Rideon Japan,Rideon Japan; CIRCLE Entertainment,"Android, iOS",Simulation
25156,AdVenture Capitalist,33,74,224,Hyper Hippo Productions,Hyper Hippo Productions,"Mobile, PC, PlayStation 4",Simulation
219,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,5,5.5,7,WayForward Technologies,D3 Publisher,"Nintendo 3DS, Nintendo DS",Adventure
36002,Adventure Time: Magic Man's Head Games,0.5,0.566666667,0.75,Turbo Button,Cartoon Network,PC,"Action, Adventure"
58827,Adventure Time: Pirates of the Enchiridion,6.5,8,10.5,Climax Studios,Outright Games,"Nintendo Switch, PC, PlayStation 4, Xbox One","Third-Person, Turn-Based, Action, Adventure, Role-Playing"
21245,Adventure Time: The Secret of the Nameless Kingdom,11,12,15,WayForward Technologies,Little Orbit,"PC, PlayStation 3, PlayStation Vita, Xbox 360","Action, Adventure"
27943,Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,1,1.5,2,Rumpus,Deck13 Interactive,PC,"Point-and-Click, Adventure"
223,Adventures of Lolo,3.5,5,6,HAL Laboratory,HAL America,"NES, Nintendo 3DS, Nintendo Switch, Wii, Wii U","Puzzle, Action"
34137,Adventures of Mana,9.5,10,17,Square-Enix,Square-Enix,"Mobile, PlayStation Vita","Top-Down, Action, Role-Playing"
21673,Adventures Of Pip,5,6.5,7,TicToc Games,TicToc Games,"PC, PlayStation 4, Wii U, Xbox One","Adventure, Platform"
33720,AdvertCity,4,12,24,VoxelStorm,VoxelStorm,PC,Adventure
36420,Aegis of Earth: Protonovus Assault,18,26.5,49,Acquire,Aksys Games,PlayStation Vita,"Real-Time, Tactical"
232,Aegis Wing,2.5,4.5,8,Microsoft/Carbonated Games,Microsoft Game Studios,Xbox 360,"Side-scroller, Shoot 'em up"
234,Aeon Command,2.5,5.5,9,Bat Country Games,Bat Country Games,PC,Strategy
50133,AER: Memories of Old,3,3.5,4,Forgotten Key,Daedalic Entertainment,"PC, PlayStation 4, Xbox One",Adventure
31465,Aerannis,6,6.5,8.5,ektomarch,ektomarch,PC,Action
237,Aero Fighters 2,0.833333333,0.916666667,1,Video System,Video System,"Arcade, Neo Geo",Shooter
238,Aero Fighters 3,0.616666667,0.833333333,1,Video System,Video System,"Arcade, Neo Geo","Top-Down, Scrolling, Action, Shooter"
247,Aether,0.783333333,0.833333333,1,"Edmund McMillen, Tyler Glaiel",Edmund McMillen,PC,Adventure
25685,Affordable Space Adventures,5.5,7,8,KnapNok Games,Nifflas' Games,Wii U,"Puzzle, Stealth"
250,Afro Samurai,7,7.5,9.5,Namco Bandai Games,Surge,"PlayStation 3, Xbox 360",Action
253,After Burner Climax,0.25,3,6.5,Sega-AM2,Sega,"PlayStation 3, Xbox 360",Arcade/Shoot 'em up
254,After Burner II,0.583333333,0.8,2.5,Sega-AM2,Sega,"Arcade, Nintendo 3DS, Sega Mega Drive/Genesis","Scrolling, Shooter"
255,After Burner III,0.083333333,0.25,4,Sega,Sega,Sega CD,Shoot 'em up
55744,After Death,5,6,8.5,After Death Team,After Death Team,PC,"Side, Scrolling, Action, Adventure, Platform"
256,Afterfall: InSanity,6.5,8.5,17,Intoxicate Studios,Nicolas Entertainment Group,PC,"Third-Person, Shooter, Survival Horror"
25553,Agarest Senki Mariage,27.5,28,34.5,Felistella,Compile Heart,PC,Role-Playing
262,Agatha Christie: Murder on the Orient Express,8,10,10,AWE Productions,The Adventure Company,PC,Adventure
33609,Agatha Christie: The ABC Murders (2016),6.5,7,9,"Microids, Artefacts Studios",Gravity Europe,"Linux, Mac, PC, PlayStation 4, Xbox One","Point-and-Click, Adventure"
266,Age of Empires,20,32.5,42,Ensemble Studios,Microsoft Game Studios,PC,Real-time strategy
12193,Age of Empires II: HD Edition,26.5,68.5,129,Hidden Path Entertainment,Microsoft Game Studios,PC,Strategy
268,Age of Empires II: The Age of Kings,41.5,66,68.5,Ensemble Studios,"Microsoft (Win, Mac), Konami (PS2)","PC, PlayStation 2",Real-time strategy
269,Age of Empires II: The Conquerors,48,56.5,89.5,Ensemble Studios,"Microsoft Game Studios, Konami",PC,Real-time strategy
270,Age of Empires III,15,16.5,28,"Ensemble Studios (Original), Macsoft (Ported Game & Updates), Robot Entertainment (Updates)","Microsoft Game Studios (PC), Macsoft & Destineer (Mac)",PC,Real-time strategy
15114,Age of Empires III: Complete Collection,18.5,26.5,31,Ensemble Studios,Microsoft Studios,PC,"Top-Down, Real-Time, Strategy"
271,Age of Empires III: The Asian Dynasties,9,11,35,"Ensemble Studios (Original), Big Huge Games (Original), Macsoft (Ported Game & Updates), Robot Entertainment (Updates)","Microsoft Game Studios (PC), Macsoft (Mac)",PC,Real-time strategy
272,Age of Empires III: The WarChiefs,8,10,35,"Ensemble Studios (Original), Macsoft (Ported Game & Updates), Robot Entertainment (Updates)","Microsoft Game Studios (PC), Macsoft (Mac)",PC,Real-time strategy
274,Age of Empires: The Age of Kings,15.5,29.5,40,Backbone Entertainment,Majesco,"Nintendo DS, PC","Turn-Based, Strategy"
275,Age of Empires: The Rise of Rome,21.5,35,36,Ensemble Studios,Microsoft Game Studios,PC,Real-time strategy
277,Age of Mythology,15,19,23.5,Ensemble Studios,"Microsoft Game Studios, MacSoft",PC,Real-time strategy
19455,Age of Mythology: Extended Edition,29,34,56.5,"Ensemble Studios, SkyBox Labs",Microsoft Studios,PC,"Real-Time, Simulation, Strategy"
278,Age of Mythology: The Titans,9.5,16.5,17.5,Ensemble Studios,Microsoft Game Studios,PC,"Turn-Based, Strategy"
33615,Age of Steel: Recharge,3.5,4,5.5,Quaint Emerald,Pirozhok,PC,Strategy
283,Age of Wonders: Shadow Magic,32,64,86,Triumph Studios,Gathering of Developers,PC,Turn-Based Strategy
26515,Agent Awesome,2.5,11,13.5,Chaos Industries,KISS,PC,"Turn-Based, Strategy"
42691,Agent Walker: Secret Journey,2.5,3,3.5,Brave Giant,Artifex Mundi,PC,Adventure
37950,Agents of Mayhem,17,26.5,51,"Deep Silver, Volition",Deep Silver,"PC, PlayStation 4, Xbox One",Action
56879,Agony (2018),7.5,8,9,Madmind Studio,Madmind Studio,"PC, PlayStation 4","Horror, Survival"
53739,AIDEN,0.5,0.516666667,0.516666667,Scarlet Studio,Scarlet Studio,PC,"First-Person, Adventure"
57051,AIdol,3,3,4.5,ebi-hime,Sekai Project,PC,Visual Novel
295,Air Conflicts: Secret Wars,7.5,8,8.5,Games Farm,bitComposer Games,PC,Action
302,AirForce Delta,10,12,14,Climax Group,Konami Corporation,Dreamcast,"Action, Action, Adventure"
45467,AIRIS,3,4.5,7,Ebullience Games,Ebullience Games,PC,Simulation
34243,Airscape: The Fall of Gravity,5,6,12,Cross-Product,Cross-Product,PC,"Action, Platform"
309,Akalabeth: World of Doom,2.5,2.5,3.5,Richard Garriott,California Pacific Computer Co.,"Apple II, PC",Role-Playing
310,Akane the Kunoichi,2,3,4,Haruneko Entertainment,Haruneko Entertainment,PC,"Action, Platform"
45942,Akiba's Beat,40,49.5,100,Acquire,"Xseed Games, PQube","PlayStation 4, PlayStation Vita","Action, Role-Playing"
20589,Akiba's Trip: Undead & Undressed,8.5,15,32,Acquire,"XSEED, Acquire, NIS America","PC, PlayStation 3, PlayStation 4, PlayStation Vita","Third-Person, Adventure, Beat 'em Up, Visual Novel"
319,Alan Wake,11,14.5,25.5,Remedy Entertainment,Microsoft Game Studios,"PC, PlayStation 3, Xbox 360, Xbox One","Third-Person, Action, Shooter, Survival Horror"
321,Alan Wake: The Signal DLC,1.5,1.5,2,Remedy Entertainment,Microsoft Game Studios,"PC, Xbox 360, Xbox One","Third-Person, Action, Shooter, Survival Horror"
322,Alan Wake: The Writer DLC,1.5,1.5,2.5,Remedy Entertainment,Microsoft Game Studios,"PC, Xbox 360, Xbox One","Third-Person, Action, Shooter, Survival Horror"
320,Alan Wake's American Nightmare,3.5,4.5,8,Remedy Entertainment,Microsoft Studios,"PC, PlayStation 3, Xbox 360, Xbox One","Third-Person, Action, Shooter, Survival Horror"
21449,Albedo: Eyes From Outer Space,4.5,4.5,7.5,Ivan Venturi Productions,Merge Games,"PC, PlayStation 4, Xbox One",First-Person
33116,Albert and Otto: The Adventure Begins,2,3,5.5,Nikola Kostic,KBros Games,"PC, Xbox One","Scrolling, Platform, Puzzle"
323,Albert Odyssey: Legend of Eldean,29.5,32,56,Sunsoft,"JP: Sunsoft, NA: Working Designs",Sega Saturn,Role-Playing
324,Albion,34.5,39,48.5,Blue Byte Software,Blue Byte Software,PC,"First-Person, Top-Down, Turn-Based, Role-Playing"
51441,Alchemist's Castle,2,3,3,Kabuk Games,Kabuk Games,PC,Action
26658,Alex Hunter - Lord of the Mind,4.5,5,5.5,Alawar,Viva Media,PC,Hidden Object
329,Alex Kidd in Miracle World,2,2.5,3,Sega,"Sega, Microsoft","Nintendo Switch, PlayStation 3, Sega Master System, Xbox 360",Platform
330,Alex Kidd in Shinobi World,0.75,0.766666667,0.816666667,Sega,Sega,Sega Master System,Platform
331,Alex Kidd in the Enchanted Castle,1.5,1.5,2.5,Sega,Sega,"PC, PlayStation 3, PlayStation 4, Sega Master System, Sega Mega Drive/Genesis",Platform
340,Alice: Madness Returns,14,15.5,22,Spicy Horse,Electronic Arts,"PC, PlayStation 3, Xbox 360, Xbox One","Action, Adventure, Platform"
30162,AliceMare,2,2,3,Miwashiba,AGM PLAYISM,PC,"Adventure, Survival Horror"
24666,Alice's Mom's Rescue,2.5,2.5,2.5,Orion,Hucast Games,"Dreamcast, PC",Platform
37975,Alice's Patchwork,12.5,17.5,24,Creobit,8Floor,PC,Puzzle
343,Alien 3,2.5,4,4,"Probe Entertainment, Eden Entertainment","Arena Entertainment, Acclaim Entertainment, LJN, Virgin Interactive","Game Boy, NES, Sega Mega Drive/Genesis, Super Nintendo",Action
347,Alien Breed 3: Descent,5,6,8,Team 17,Team 17,"PC, PlayStation 3","Action, Shooter"
353,Alien Hallway,2,3,6.5,Sigma Team Inc.,Sigma Team Inc.,PC,"Action, Strategy"
355,Alien Hominid HD,5,5.5,7,The Behemoth,"O3 Entertainment (North America), Zoo Digital Publishing (Europe)",Xbox 360,Run and gun
360,Alien Shooter,2,2.5,3.5,Sigma Team,Sigma Team,PC,"Arcade, Shooter"
361,Alien Shooter 2: Conscription,2,3,3,Sigma Team,Sigma Team,PC,Shooter
362,Alien Shooter 2: Reloaded,5,6,7,Sigma Team Inc.,Sigma Team Inc.,PC,"Action, Shooter"
43753,Alien Shooter TD,10,13,43.5,Sigma Team,Sigma Team,PC,Tower Defense
363,Alien Shooter: Revisited,2,2,2.5,Sigma Team,Sigma Team,PC,"Top-Down, Shooter"
364,Alien Shooter: Vengeance,6,7,9,Sigma Team,Sigma Team,PC,Arcade
367,Alien Storm,0.8,2.5,4,Sega,Sega,"Arcade, PC, Sega Master System, Sega Mega Drive/Genesis",Beat 'em up
368,Alien Swarm,4,7,13.5,Valve Corporation,Valve Corporation,PC,"Shoot-em-up, Top-down, 3-D"
375,Alien vs. Predator (SNES),2,5.5,6,Information Global Service,Activision,Super Nintendo,Action
376,Alien Zombie Megadeath,4,8,19,Pom Pom Games,Pom Pom Games,"PC, PlayStation 3",Action
16638,Alien: Isolation,18.5,23.5,32.5,The Creative Assembly,Sega,"PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One","First-Person, Stealth"
21665,Alien: Isolation - Crew Expendable,0.533333333,0.65,0.683333333,The Creative Assembly,Sega,"PC, PlayStation 4, Xbox One","First-Person, Stealth, Survival Horror"
21666,Alien: Isolation - Last Survivor,0.383333333,0.45,0.45,The Creative Assembly,Sega,"PC, PlayStation 4","First-Person, Stealth, Survival Horror"
28338,Aliens (1990),0.666666667,0.916666667,1,Konami,Konami,Arcade,Shooter
22916,Aliens versus Predator (1999),6,6.5,15,Rebellion,Fox Interactive,PC,"First-Person, Shooter"
